Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI
25.33565,83.00763,93.5,25335,0.633
16.508757,80.61851,93.5,16508,0.633
17.723127,83.301285,93.5,17723,0.633
17.982065,79.59709,93.5,17982,0.633
13.0836935,80.27019,93.5,13083,0.633
11.001811,76.962845,93.5,11001,0.633
9.926115,78.1141,93.5,9926,0.633
10.915648,79.806946,93.5,10915,0.633
10.804973,78.68703,93.5,10804,0.633
8.808234,77.811485,93.5,8808,0.633
8.805261,78.14527,93.5,8805,0.633
21.6409,69.611,93.5,21640,0.633
20.91011,70.36528,93.5,20910,0.633
27.175255,78.00982,93.7,27175,0.633
24.170979,72.43664,93.7,24170,0.633
22.297314,73.19426,93.9,22297,0.633
11.67,78.144,93.9,11670,0.633
12.794811,79.00064,93.9,12794,0.633
27.833332,78.166664,94.1,27833,0.633
26.8381,80.9346,94.3,26838,0.633
11.876384,75.373795,94.3,11876,0.633
9.967427,76.245445,94.3,9967,0.633
8.488227,76.94755,94.3,8488,0.633
25.43813,81.8338,94.3,25438,0.633
28.416668,79.38333,94.3,28416,0.633
26.775,83.3723,94.3,26775,0.633
17.360588,78.47406,94.3,17360,0.633
23.021624,72.579704,94.3,23021,0.633
26.4691,74.639,94.3,26469,0.633
20.716906,77.10462,94.3,20716,0.633
31.634308,74.87368,94.3,31634,0.633
19.877262,75.33903,94.3,19877,0.633
23.258486,77.40199,94.3,23258,0.633
28.015928,73.31714,94.3,28015,0.633
28.868053,79.298386,94.3,28868,0.633
30.733442,76.77972,94.3,30733,0.633
26.203724,78.157364,94.3,26203,0.633
22.720362,75.8682,94.3,22720,0.633
23.160894,79.94977,94.3,23160,0.633
26.915457,75.818985,94.3,26915,0.633
31.332376,75.57689,94.3,31332,0.633
21.013762,75.562706,94.3,21013,0.633
26.296772,73.03514,94.3,26296,0.633
25.173702,75.85742,94.3,25173,0.633
21.149813,79.082054,94.3,21149,0.633
19.172573,77.29141,94.3,19172,0.633
21.23809,81.6337,94.3,21238,0.633
22.305326,70.80284,94.3,22305,0.633
21.17,72.82,94.3,21170,0.633
24.57872,73.68626,94.3,24578,0.633
23.743525,92.73829,94.3,23743,0.633
26.181784,89.968765,94.3,26181,0.633
26.180597,91.753944,94.3,26180,0.633
25.18251,92.89841,94.3,25182,0.633
27.097965,93.623726,94.3,27097,0.633
26.716413,88.43099,94.3,26716,0.633
12.976793,77.59008,94.3,12976,0.633
13.0836935,80.27019,94.3,13083,0.633
22.572645,88.36389,94.3,22572,0.633
18.973354,72.8281,94.3,18973,0.633
28.613895,77.20901,94.3,28613,0.633
18.521427,73.854454,94.3,18521,0.633
16.70284,74.24053,94.3,16702,0.633
26.166706,85.41663,94.3,26166,0.633
32.98066,75.65281,94.3,32980,0.633
33.767002,74.09571,94.3,33767,0.633
29.15,75.72,94.5,29150,0.633
29.680326,76.989624,94.5,29680,0.633
27.175255,78.00982,94.5,27175,0.633
27.833332,78.166664,94.9,27833,0.633
30.909016,75.8516,95.0,30909,0.633
25.609324,85.12353,95.0,25609,0.633
18.521427,73.854454,95.0,18521,0.633
31.104153,77.170975,95.0,31104,0.633
25.33565,83.00763,95.0,25335,0.633
26.460913,80.32176,95.0,26460,0.633
28.613895,77.20901,95.0,28613,0.633
20.878922,74.70314,95.0,20878,0.633
17.669973,75.90081,95.0,17669,0.633
16.70284,74.24053,95.0,16702,0.633
20.011248,73.79024,95.0,20011,0.633
23.68713,86.974655,95.0,23687,0.633
20.716906,77.10462,95.0,20716,0.633
12.976793,77.59008,95.0,12976,0.633
26.180597,91.753944,95.0,26180,0.633
22.473242,70.055214,95.0,22473,0.633
19.813707,82.94679,95.0,19813,0.633
10.804973,78.68703,95.0,10804,0.633
8.808234,77.811485,95.0,8808,0.633
13.0836935,80.27019,95.0,13083,0.633
17.360588,78.47406,95.0,17360,0.633
27.329046,88.61227,95.0,27329,0.633
23.021624,72.579704,95.0,23021,0.633
23.831238,91.28238,95.0,23831,0.633
21.17,72.82,95.0,21170,0.633
10.50817,76.29487,95.0,10508,0.633
28.015928,73.31714,95.0,28015,0.633
26.203724,78.157364,95.0,26203,0.633
26.915457,75.818985,95.0,26915,0.633
32.718563,74.85809,95.0,32718,0.633
25.173702,75.85742,95.0,25173,0.633
21.23809,81.6337,95.0,21238,0.633
34.074745,74.82044,95.0,34074,0.633
24.57872,73.68626,95.0,24578,0.633
23.021624,72.579704,96.7,23021,0.633
28.613895,77.20901,96.9,28613,0.633
28.613895,77.20901,96.9,28613,0.633
22.572645,88.36389,97.0,22572,0.633
25.576044,91.88253,98.3,25576,0.633
23.021624,72.579704,98.3,23021,0.633
19.877262,75.33903,98.3,19877,0.633
12.976793,77.59008,98.3,12976,0.633
23.258486,77.40199,98.3,23258,0.633
30.733442,76.77972,98.3,30733,0.633
