,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
436,436,63.2888613,18.7160209,91.3,2500,0.947,
437,437,62.9866904,18.4304287,91.6,150,0.947,
438,438,62.4733988,15.64108973,96.5,1000,0.947,
439,439,62.916667,17.666667,106.3,500,0.947,
440,440,63.383333,16.916667,106.5,100,0.947,
441,441,62.3907552,17.3071024,106.6,4000,0.947,
442,442,62.6323084,17.9379914,107.8,300,0.947,
443,443,59.6178282,16.2301266,103.7,500,0.947,
444,444,-7.5692489,110.828448,97.0,250,0.947,
445,445,59.6110992,16.5463679,100.5,60000,0.947,
446,446,59.6110992,16.5463679,104.1,250,0.947,
447,447,59.5137434,15.9970475,106.6,250,0.947,
448,448,59.6110992,16.5463679,93.7,500,0.947,
449,449,58.6920072,11.2542334,98.9,500,0.947,
450,450,59.0964963,11.2624025,99.5,500,0.947,
451,451,58.916667,11.25,106.8,500,0.947,
452,452,59.9202491,23.3098703,107.9,500,0.947,
453,453,57.7210839,12.9407407,92.5,1000,0.947,
454,454,57.7072326,11.9670171,102.6,500,0.947,
455,455,57.7072326,11.9670171,103.1,700,0.947,
456,456,57.7072326,11.9670171,94.9,700,0.947,
457,457,58.133333,12.166667,94.3,300,0.947,
458,458,58.3811988,12.3226877,101.2,300,0.947,
459,459,57.9,11.916667,95.4,1000,0.947,
460,460,57.616667,12.083333,90.7,200,0.947,
461,461,57.75,12.6,104.1,500,0.947,
462,462,58.716667,12.466667,101.6,200,0.947,
463,463,58.983838,12.6126708,98.1,500,0.947,
464,464,59.116667,12.85,100.7,3,0.947,
465,465,58.983838,12.6126708,105.6,3,0.947,
466,466,57.7333362,12.1166649,88.0,250,0.947,
467,467,57.9998496,12.500037,98.6,100,0.947,
468,468,57.7072326,11.9670171,106.3,400,0.947,
469,469,58.3965726,11.4196339,107.5,1000,0.947,
470,470,58.083333,11.916667,100.5,750,0.947,
471,471,58.3490555,11.9382855,98.1,500,0.947,
